0,1,2,3,4,5,6,7,8,9,10,11,12
backed securities,,11502.0,,106.0,,248.0,,6.0,,11750.0,,112.0
Total,,67082.0,,494.0,,622.0,,13.0,,67704.0,,507.0
,During  the  years  ended  December  31  2020  and  2021  we  did  not  recognize  significant  credit  losses  and  the,,,,,,,,,,,
ending allowance for credit losses was immaterial. See Note 7 for further details on other income expense net.,,,,,,,,,,,,
Equity Investments,,,,,,,,,,,,
,The following discusses our marketable equity securities non-marketable equity securities gains and losses on,,,,,,,,,,,
marketable  and  non-marketable  equity  securities  as  well  as  our  equity  securities  accounted  for  under  the  equity,,,,,,,,,,,,
method.,,,,,,,,,,,,
,Our marketable equity securities are publicly traded stocks or funds measured at fair value and classified within,,,,,,,,,,,
Level 1 and 2 in the fair value hierarchy because we use quoted prices for identical assets in active markets or inputs,,,,,,,,,,,,
that are based upon quoted prices for similar instruments in active markets.,,,,,,,,,,,,
,Our  non-marketable  equity  securities  are  investments  in  privately  held  companies  without  readily  determinable,,,,,,,,,,,
market  values.  The  carrying  value  of  our  non-marketable  equity  securities  is  adjusted  to  fair  value  upon  observable,,,,,,,,,,,,
transactions  for  identical  or  similar  investments  of  the  same  issuer  or  impairment  referred  to  as  the  measurement,,,,,,,,,,,,
alternative.  Non-marketable  equity  securities  that  have  been  remeasured  during  the  period  based  on  observable,,,,,,,,,,,,
transactions are classified within Level 2 or Level 3 in the fair value hierarchy because we estimate the value based on,,,,,,,,,,,,
valuation  methods  which  may  include  a  combination  of  the  observable  transaction  price  at  the  transaction  date  and,,,,,,,,,,,,
other  unobservable  inputs  including  volatility  rights  and  obligations  of  the  securities  we  hold.  The  fair  value  of  non-,,,,,,,,,,,,
marketable equity securities that have been remeasured due to impairment are classified within Level 3.,,,,,,,,,,,,
Gains and losses on marketable and non-marketable equity securities,,,,,,,,,,,,
,Gains  and  losses  reflected  in  other  income  expense  net  for  marketable  and  non-marketable  equity  securities,,,,,,,,,,,
are summarized below in millions:,,,,,,,,,,,,
,,,,,,,,,Year Ended December 31,,,
