0,1,2,3,4,5,6
,,,Year Ended December 31,,,
,,2022.0,,2023.0,,2024.0
Interest income,,2174.0,,3865.0,,4482.0
Interest expense1,,357.0,,308.0,,268.0
Foreign currency exchange gain loss net,,654.0,,1238.0,,409.0
Gain loss on debt securities net,,2064.0,,1215.0,,1043.0
Gain loss on equity securities net,,3455.0,,392.0,,3714.0
Performance fees,,798.0,,257.0,,218.0
Income loss and impairment from equity method investments net,,337.0,,628.0,,188.0
Other,,381.0,,299.0,,919.0
Other income expense net,,3514.0,,1424.0,,7425.0
