0,1,2,3,4,5,6,7,8,9,10,11
,,,,,"Effective Interest
Rate",,,,,,
,Maturity,,Coupon Rate,,,,2020.0,,,2021,
Debt,,,,,,,,,,,
2011-2020 Notes Issuances,2024 - 2060,,0.45 - 3.38,,0.57 - 3.38,,,14000.0,,,13000.0
Future finance lease payments net1,,,,,,,1201.0,,,2086,
Total debt,,,,,,,15201.0,,,15086,
"Unamortized discount and debt
issuance costs",,,,,,,169.0,,,156,
Less: Current portion of Notes2,,,,,,,999.0,,,—,
"Less: Current portion future finance
lease payments net12",,,,,,,101.0,,,113,
Total long-term debt,,,,,,,,13932.0,,,14817.0
