0,1,2,3,4,5,6,7,8,9,10
,,,,,As of December 31 2024,,,,,
,,,Gross,Gross,,,,Cash and,,
,Fair Value,Adjusted,Unrealized,Unrealized,,,,Cash,,Marketable
,Hierarchy,Cost,Gains,Losses,,Fair Value,,Equivalents,,Securities
Fair value changes,,,,,,,,,,
recorded in other,,,,,,,,,,
comprehensive income,,,,,,,,,,
Time deposits,Level 2," 
2217"," 
0"," 
0",,2217,,,2081.0," 
136"
Government bonds,Level 2,27551,83,214,,27420,,,50.0,27370
Corporate debt securities,Level 2,18300,79,222,,18157,,,0.0,18157
Mortgage-backed and,,,,,,,,,,
,,14437,63,385,,14115,,,0.0,14115
asset-backed securities,Level 2,,,,,,,,,
Total investments with,,,,,,,,,,
