0,1
alance as of December 31 2021  2306  236  447  1623,
"Other comprehensive income loss before
reclassifications 1836 4720 1463 5093",
"Amounts excluded from the assessment of
hedge effectiveness recorded in AOCI 0 0 188 188",
Amounts reclassified from AOCI 0 1007 1706 699,
Other comprehensive income loss 1836 3713 431 5980,
alance as of December 31 2022 4142 3477 16 7603,
"Other comprehensive income loss before
reclassifications 735 1344 84 2163",
"Amounts excluded from the assessment of
hedge effectiveness recorded in AOCI 0 0 84 84",
Amounts reclassified from AOCI 0 1168 214 954,
Other comprehensive income loss 735 2512 46 3201,
alance as of December 31 2023,3407 965 30 4402
"Other comprehensive income loss before
reclassifications 1673 116 698 1091",
"Amounts excluded from the assessment of
hedge effectiveness recorded in AOCI 0 0 77 77",
Amounts reclassified from AOCI 0 782 166 616,
Other comprehensive income loss 1673 666 609 398,
alance as of December 31 2024, 5080  299  579  4800
