0,1,2,3,4,5,6,7
Table of Contents,,,,,,,Alphabet Inc.
Equity Investments,,,,,,,
,The  carrying  value  of  equity  securities  is  measured  as  the  total  initial  cost  plus  the  cumulative  net  gain  loss.,,,,,,
Gains  and  losses  including  impairments  are  included  as  a  component  of  OI&E  in  the  Consolidated  Statements  of,,,,,,,
Income. See Note 7 for further details on OI&E.,,,,,,,
,The carrying values for marketable and non-marketable equity securities are summarized below in millions:,,,,,,
As of December 31 2022,,,,,As of December 31 2023,,
"Marketable 
Non-Marketable",,,Marketable,,Non-Marketable,,
"Equity 
Equity",,,Equity,,Equity,,
"Securities
Securities
Total",,,Securities,,Securities,,Total
"Total initial cost
 
5764 
 
16157 
",21921,,,5418," 
17616",,23034
Cumulative net,,,,,,,
"gain loss1
 
608 
 
12372",11764,,,555,11150,,11705
"Carrying value
 
5156 
 
28529 
",33685,,,5973," 
28766",,34739
1,,,,,,,
,Non-marketable  equity  securities  cumulative  net  gain  loss  is  comprised  of  16.8  billion  gains  and  4.5  billion  losses,,,,,,
,including impairments as of December 31 2022 and 18.1 billion gains and 6.9 billion losses including impairments as of,,,,,,
December 31 2023.,,,,,,,
Gains and Losses on Marketable and Non-marketable Equity Securities,,,,,,,
,Gains  and  losses  including  impairments  net  for  marketable  and  non-marketable  equity  securities  included  in,,,,,,
OI&E are summarized below in millions:,,,,,,,
,,,,Year Ended December 31,,,
,,,2021,,2022,,2023
Realized net gain loss on equity securities sold during the,,,,,,,
period,,,1196,,442  ,,690
Unrealized net gain loss on marketable equity securities,,,1335,,3242,,790
Unrealized net gain loss on non-marketable equity securities1,,,9849,,229,,1088
Total gain loss on equity securities in other income,,,,,,,
expense net,,,12380,,3455  ,,392
1,,,,,,,
,Unrealized gain loss on non-marketable equity securities accounted for under the measurement alternative is comprised of,,,,,,
,10.0 billion 3.3 billion and 1.8 billion of upward adjustments as of December 31 2021 2022 and 2023 respectively and,,,,,,
,122 million 3.0 billion and 2.9 billion of downward adjustments including impairments as of December 31 2021 2022,,,,,,
and 2023 respectively.,,,,,,,
,In  the  table  above  realized  net  gain  loss  on  equity  securities  sold  during  the  period  reflects  the  difference,,,,,,
between  the  sale  proceeds  and  the  carrying  value  of  the  equity  securities  at  the  beginning  of  the  period  or  the,,,,,,,
purchase date if later.,,,,,,,
,Cumulative  net  gains  losses  on  equity  securities  sold  during  the  period  which  is  summarized  in  the  following,,,,,,
table in millions represents the total net gains losses recognized after the initial purchase date of the equity security,,,,,,,
sold during the period. While these net gains losses may have been reflected in periods prior to the period of sale we,,,,,,,
believe they are important supplemental information as they reflect the economic net gains losses on the securities,,,,,,,
sold during the period. Cumulative net gains losses are calculated as the difference between the sale price and the,,,,,,,
initial purchase price for the equity security sold during the period.,,,,,,,
,,,,,Equity Securities Sold During the Year,,
,,,,,,Ended December 31,
,,,,,2022,,2023
Total sale price,,,,,1784,,1981
Total initial cost,,,,,937,,1512
Cumulative net gains losses,,,,,847,,469
Equity Securities Accounted for Under the Equity Method,,,,,,,
,As of December 31 2022 and 2023 equity securities accounted for under the equity method had a carrying value,,,,,,
of approximately 1.5 billion and 1.7 billion respectively. Our share of gains and losses including impairments are,,,,,,,
included as a component of OI&E in the Consolidated Statements of Income. See Note 7 for further details on OI&E.,,,,,,,
67.,,,,,,,
