0,1,2,3,4,5,6
,,Class A,,Class ,,Class C
asic net income per share:,,,,,,
Numerator,,,,,,
Allocation of undistributed earnings,,34200,,5174,,36659
Denominator,,,,,,
Number of shares used in per share computation,,6006,,909,,6438
asic net income per share,,5.69,,5.69,,5.69
Diluted net income per share:,,,,,,
Numerator,,,,,,
Allocation of undistributed earnings for basic computation,,34200,,5174,,36659
Reallocation of undistributed earnings as a result of conversion of Class  to Class A,,,,,,
shares,,5174,,0,,0
Reallocation of undistributed earnings,,581,,77,,581
Allocation of undistributed earnings,,38793,,5097,,37240
Denominator,,,,,,
Number of shares used in basic computation,,6006,,909,,6438
Weighted-average effect of dilutive securities,,,,,,
Add:,,,,,,
Conversion of Class  to Class A shares outstanding,,909,,0,,0
Restricted stock units and other contingently issuable shares,,0,,0,,200
Number of shares used in per share computation,,6915,,909,,6638
Diluted net income per share,,5.61,,5.61,,5.61
