0,1,2,3,4,5,6,7,8,9,10,11,12,13
Consolidated revenues,,182527.0,,,,257637.0,,,,75110.0,,41.0,
Change in consolidated constant currency revenues,,,,,,,,,,,,39.0,
,,,,,,,,,,,,,
Cost of revenues,,84732.0,,,,110939.0,,,,26207.0,,31.0,
Operating expenses,,56571.0,,,,67984.0,,,,11413.0,,20.0,
,,,,,,,,,,,,,
Operating income,,41224.0,,,,78714.0,,,,37490.0,,91.0,
Operating margin,23.0,,,,31.0,,,,,,,8.0,
,,,,,,,,,,,,,
Other income expense net,,6858.0,,,,12020.0,,,,5162.0,,75.0,
,,,,,,,,,,,,,
Net Income,,40269.0,,,,76033.0,,,,35764.0,,89.0,
Diluted EPS,,58.61,,,,112.2,,,,53.59,,91.0,
,,,,,,,,,,,,,
Number of Employees,135301.0,,,,156500.0,,,,21199.0,,,16.0,
