0,1,2,3,4,5,6
,,,Year Ended December 31,,,
,,2021.0,,2022.0,,2023.0
Revenues:,,,,,,
Google Services,,237529.0,,253528.0,,272543.0
Google Cloud,,19206.0,,26280.0,,33088.0
Other ets,,753.0,,1068.0,,1527.0
Hedging gains losses,,149.0,,1960.0,,236.0
Total revenues,,257637.0,,282836.0,,307394.0
Operating income loss:,,,,,,
Google Services,,88132.0,,82699.0,,95858.0
Google Cloud,,2282.0,,1922.0,,1716.0
Other ets,,4051.0,,4636.0,,4095.0
Alphabet-level activities,,3085.0,,1299.0,,9186.0
Total income from operations,,78714.0,,74842.0,,84293.0
