0,1,2,3,4,5,6,7,8,9,10
,,,,,As of December 31 2023,,,,,
,,,Gross,Gross,,,,Cash and,,
,Fair Value,Adjusted,Unrealized,Unrealized,,,,Cash,,Marketable
,Hierarchy,Cost,Gains,Losses,,Fair Value,,Equivalents,,Securities
Fair value changes,,,,,,,,,,
recorded in other,,,,,,,,,,
comprehensive income,,,,,,,,,,
Time deposits,Level 2," 
2628"," 
0"," 
0",,2628,,,2628.0," 
0"
Government bonds,Level 2,38106,233,679,,37660,,,1993.0,35667
Corporate debt securities,Level 2,22457,112,637,,21932,,,0.0,21932
Mortgage-backed and,,,,,,,,,,
,,17243,88,634,,16697,,,0.0,16697
asset-backed securities,Level 2,,,,,,,,,
Total investments with,,,,,,,,,,
