0,1,2,3,4,5,6,7,8,9,10,11,12
Gains Losses on Derivatives in Cash Flow Hedging,,,,,,,,,,,,
Relationship:,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Amount of gains losses reclassified from AOCI to,,,,,,,,,,,,
income,,139.0,,0.0,,367.0,,0.0,,144.0,,0.0
Amount excluded from the assessment of,,,,,,,,,,,,
effectiveness recognized in earnings based on an,,,,,,,,,,,,
amortization approach,,1.0,,0.0,,88.0,,0.0,,33.0,,0.0
Gains Losses on Derivatives in Fair Value Hedging,,,,,,,,,,,,
Relationship:,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Hedged items,,0.0,,96.0,,0.0,,19.0,,0.0,,18.0
Derivatives designated as hedging instruments,,0.0,,96.0,,0.0,,19.0,,0.0,,18.0
Amount excluded from the assessment of,,,,,,,,,,,,
effectiveness,,0.0,,37.0,,0.0,,25.0,,0.0,,4.0
Gains Losses on Derivatives in Net Investment,,,,,,,,,,,,
Hedging Relationship:,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,
Amount excluded from the assessment of,,,,,,,,,,,,
effectiveness,,0.0,,78.0,,0.0,,243.0,,0.0,,151.0
Gains Losses on Derivatives Not Designated as,,,,,,,,,,,,
