0,1,2,3,4
,2023.0,2024.0,2023.0,2024.0
Revenues  76693  88268  221084  253549,,,,
Costs and expenses:,,,,
Cost of revenues 33229 36474 95757 105693,,,,
Research and development 11258 12447 33314 36210,,,,
Sales and marketing 6884 7227 20198 20445,,,,
General and administrative 3979 3599 11219 9783,,,,
Total costs and expenses 55350 59747 160488 172131,,,,
Income from operations 21343 28521 60596 81418,,,,
Other income expense net 146 3185 709 6154,,,,
Income before income taxes 21197 31706 61305 87572,,,,
Provision for income taxes 1508 5405 8197 13990,,,,
