0,1,2,3,4,5,6
,,,Year Ended December 31,,,
,,2018.0,,2019.0,,2020.0
Revenues,,136819.0,,161857.0,,182527.0
Costs and expenses:,,,,,,
Cost of revenues,,59549.0,,71896.0,,84732.0
Research and development,,21419.0,,26018.0,,27573.0
Sales and marketing,,16333.0,,18464.0,,17946.0
General and administrative,,6923.0,,9551.0,,11052.0
European Commission fines,,5071.0,,1697.0,,0.0
Total costs and expenses,,109295.0,,127626.0,,141303.0
Income from operations,,27524.0,,34231.0,,41224.0
Other income expense net,,7389.0,,5394.0,,6858.0
Income before income taxes,,34913.0,,39625.0,,48082.0
Provision for income taxes,,4177.0,,5282.0,,7813.0
Net income,,30736.0,,34343.0,,40269.0
asic net income per share of Class A and  common stock and Class,,,,,,
C capital stock,,44.22,,49.59,,59.15
Diluted net income per share of Class A and  common stock and Class,,,,,,
C capital stock,,43.7,,49.16,,58.61
