0,1,2,3,4,5,6,7,8,9,10
,,,,,,,, Change from Prior Period,,
,Year Ended December 31,,,,,Constant,,Less,,Constant
,,,,,Less FX,Currency,As,Hedging,Less FX,Currency
,2022,,2023.0,,Effect,Revenues,Reported,Effect,Effect,Revenues
United States,,,,,,,,,,
,134814,,146286.0,,0,  146286,9 ,,0 ,9 
EMEA,,,,,,,,,,
,82062,,91038.0,,460,90578,11 ,,1 ,10 
APAC,,,,,,,,,,
,47024,,51514.0,,1759,53273,10 ,,3 ,13 
Other Americas,,,,,,,,,,
,16976,,18320.0,,654,18974,8 ,,4 ,12 
Revenues excluding hedging effect,280876,,307158.0,,1953,309111,9 ,,1 ,10 
Hedging gains losses,,,,,,,,,,
,1960,,236.0,,,,,,,
Total revenues1,,,,,,,,,,
,282836,,307394.0,,,  309111,9 ,0 ,1 ,10 
1,,,,,,,,,,
,Total  constant  currency  revenues  of  309.1  billion  for  2023  increased  28.2  billion  compared  to  280.9  billion  in  revenues,,,,,,,,,
