0,1,2,3,4,5,6,7,8,9,10,11,12
in millions:,,,,,,,,,,,,
,,Three Months Ended September 30 2023,,,,,,Nine Months Ended September 30 2023,,,,
,,Severance,,,,,,Severance,,,,
,,and Related 1,Office Space,,,Total,,and Related 1,,Office Space,,Total
Cost of revenues,,17,,6.0,,23,,477,,246,,723
Research and development,,15,,7.0,,22,,847,,268,,1115
Sales and marketing,,50,,1.0,,51,,494,,59,,553
General and administrative,,4,,2.0,,6,,263,,76,,339
Total charges,,86,,16.0,,102,,2081,,649,,2730
1,,,,,,,,,,,,
,Severance includes amounts to be settled in cash accounted for as one-time involuntary employee termination benefits,,,,,,,,,,,
