0,1,2,3,4,5,6,7,8
asic net income per share:,,,,,,,,
Numerator,,,,,,,,
Allocation of undistributed earnings,,14846.0,,,2307.0,,,17190.0
Denominator,,,,,,,,
Number of shares used in per share computation,299402.0,,,46527.0,,,346667.0,
asic net income per share,,49.59,,,49.59,,,49.59
Diluted net income per share:,,,,,,,,
Numerator,,,,,,,,
Allocation of undistributed earnings for basic computation,,14846.0,,,2307.0,,,17190.0
Reallocation of undistributed earnings as a result of conversion of Class  to Class A shares,2307.0,,,0.0,,,0.0,
Reallocation of undistributed earnings,126.0,,,20.0,,,126.0,
Allocation of undistributed earnings,,17027.0,,,2287.0,,,17316.0
Denominator,,,,,,,,
Number of shares used in basic computation,299402.0,,,46527.0,,,346667.0,
Weighted-average effect of dilutive securities,,,,,,,,
Add:,,,,,,,,
Conversion of Class  to Class A common shares outstanding,46527.0,,,0.0,,,0.0,
Restricted stock units and other contingently issuable shares,413.0,,,0.0,,,5547.0,
Number of shares used in per share computation,346342.0,,,46527.0,,,352214.0,
Diluted net income per share,,49.16,,,49.16,,,49.16
