0,1,2,3,4,5,6,7,8,9,10,11
alance as of December 31 2017,,1103.0,,,233.0,,,122.0,,,992.0
Cumulative effect of accounting change,0.0,,,98.0,,,0.0,,,98.0,
"Other comprehensive income loss
before reclassifications",781.0,,,88.0,,,264.0,,,429.0,
"Amounts excluded from the assessment
of hedge effectiveness recorded in AOCI",0.0,,,0.0,,,26.0,,,26.0,
Amounts reclassified from AOCI,0.0,,,911.0,,,98.0,,,813.0,
Other comprehensive income loss,781.0,,,823.0,,,388.0,,,1216.0,
alance as of December 31 2018,1884.0,,,688.0,,,266.0,,,2306.0,
Cumulative effect of accounting change,0.0,,,0.0,,,30.0,,,30.0,
"Other comprehensive income loss
before reclassifications",119.0,,,1611.0,,,36.0,,,1528.0,
"Amounts excluded from the assessment
of hedge effectiveness recorded in AOCI",0.0,,,0.0,,,14.0,,,14.0,
Amounts reclassified from AOCI,0.0,,,111.0,,,299.0,,,410.0,
Other comprehensive income loss,119.0,,,1500.0,,,277.0,,,1104.0,
alance as of December 31 2019,2003.0,,,812.0,,,41.0,,,1232.0,
"Other comprehensive income loss before
reclassifications",1139.0,,,1313.0,,,79.0,,,2531.0,
"Amounts excluded from the assessment of
hedge effectiveness recorded in AOCI",0.0,,,0.0,,,37.0,,,37.0,
Amounts reclassified from AOCI,0.0,,,513.0,,,116.0,,,629.0,
Other comprehensive income loss,1139.0,,,800.0,,,74.0,,,1865.0,
alance as of December 31 2020,,864.0,,,1612.0,,,115.0,,,633.0
