0,1,2,3,4,5,6,7,8,9,10
,,,,,,,, Change from Prior Period,,
,Year Ended December 31,,,,,Constant,,Less,,Constant
,,,,,Less FX,Currency,As,Hedging,Less FX,Currency
,2021,,2022.0,,Effect,Revenues,Reported,Effect,Effect,Revenues
United States,,,,,,,,,,
,117854,,134814.0,,0,  134814,14 ,,0 ,14 
EMEA,,,,,,,,,,
,79107,,82062.0,,8979,91041,4 ,,11 ,15 
APAC,,,,,,,,,,
,46123,,47024.0,,3915,50939,2 ,,8 ,10 
Other Americas,,,,,,,,,,
,14404,,16976.0,,430,17406,18 ,,3 ,21 
Revenues excluding hedging effect,257488,,280876.0,,13324,294200,9 ,,5 ,14 
Hedging gains losses,,,,,,,,,,
,149,,1960.0,,,,,,,
Total revenues1,,,,,,,,,,
,257637,,282836.0,,,  294200,10 ,1 ,5 ,14 
1,,,,,,,,,,
,Total  constant  currency  revenues  of  294.2  billion  for  2022  increased  36.7  billion  compared  to  257.5  billion  in  revenues,,,,,,,,,
