0,1,2,3,4,5,6
,The components of other income expense net were as follows in millions:,,,,,
,,,Year Ended December 31,,,
,,2018.0,,2019.0,,2020.0
Interest income,,1878.0,,2427.0,,1865.0
1,,,,,,
Interest expense,,114.0,,100.0,,135.0
2,,,,,,
Foreign currency exchange gain loss net,,80.0,,103.0,,344.0
3,,,,,,
Gain loss on debt securities net,,1190.0,,149.0,,725.0
Gain loss on equity securities net,,5460.0,,2649.0,,5592.0
Performance fees,,1203.0,,326.0,,609.0
Income loss and impairment from equity method investments net,,120.0,,390.0,,401.0
4,,,,,,
Other,,378.0,,102.0,,637.0
Other income expense net,,7389.0,,5394.0,,6858.0
