0,1,2,3,4,5,6
,,,Unrealized Gains,,Unrealized,
,,Foreign Currency,Losses on,Gains Losses,,
,,Translation,Available-for-Sale,on Cash Flow,,
,,Adjustments,Investments,,Hedges,Total
alance as of December 31 2019,,2003  ,812,,41  ,1232
Other comprehensive income loss before,,,,,,
reclassifications,,1139,1313,,79,2531
Amounts excluded from the assessment of,,,,,,
hedge effectiveness recorded in AOCI,,0,0,,37,37
Amounts reclassified from AOCI,,0,513,,116,629
Other comprehensive income loss,,1139,800,,74,1865
alance as of December 31 2020,,864,1612,,115,633
Other comprehensive income loss before,,,,,,
reclassifications,,1442,1312,,668,2086
Amounts excluded from the assessment of,,,,,,
hedge effectiveness recorded in AOCI,,0,0,,48,48
Amounts reclassified from AOCI,,0,64,,154,218
Other comprehensive income loss,,1442,1376,,562,2256
alance as of December 31 2021,,2306,236,,447,1623
Other comprehensive income loss before,,,,,,
reclassifications,,1836,4720,,1463,5093
Amounts excluded from the assessment of,,,,,,
hedge effectiveness recorded in AOCI,,0,0,,188,188
Amounts reclassified from AOCI,,0,1007,,1706,699
Other comprehensive income loss,,1836,3713,,431,5980
