0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,As of December 31 2020,,,,,,,
,,,,,,Gross Amounts Not Offset in the Consolidated,,,,,,
,,,,,,alance Sheets but Have Legal Rights to Offset,,,,,,
,,,Gross,,,,,,,,,
,Gross,,Amounts,Net Presented,,,,,,,,
,Amounts of,,Offset in the,in the,,,,Cash,,Non-Cash,,
,Recognized,,Consolidated,Consolidated,,Financial,,Collateral,,Collateral,,
,Liabilities,,alance Sheets,alance Sheets,,Instruments,,Pledged,,Pledged,,Net Liabilities
,,,,,,2,,,,,,
,1554,,32,"
1522",,295,,1,,943,,283
