0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,As of December 31 2020,,,,,,,,
,,,,,,,Gross Amounts Not Offset in the Consolidated,,,,,,
,,,,,,,alance Sheets but Have Legal Rights to Offset,,,,,,
,,,Gross,,,,,,,,,,
,,,Amounts,,,,,,,,,,
,Gross,,Offset in the,Net Presented,,,,,,,,,
,Amounts of,,Consolidated,in the,,,,Cash,,Non-Cash,,,
,Recognized,,alance,Consolidated,,Financial,,Collateral,,Collateral,,,Net Assets
,Assets,,Sheets,alance Sheets,,Instruments,,Received,,Received,,,Exposed
,,,,,,,1,,,,,,
,397,,32,"
365",,295,,16,,,0.0,,54
