0,1,2,3,4,5,6,7
Table of Contents,,,,,,Alphabet Inc.,
development resources to support their financial health and access to excellent healthcare choices. Our competitive,,,,,,,
compensation programs help us to attract and retain top candidates and we will continue to invest in recruiting talented,,,,,,,
people to technical and non-technical roles and rewarding them well. We provide a variety of high quality training and,,,,,,,
support to our managers to build and strengthen their capabilities-–ranging from courses for new managers to learning,,,,,,,
resources that help them provide feedback and manage performance to coaching and individual support.,,,,,,,
,At Alphabet we are committed to making diversity equity and inclusion part of everything we do and to growing a,,,,,,
workforce  that  is  representative  of  the  users  we  serve.  More  information  on  Google’s  approach  to  diversity  can  be,,,,,,,
found in our annual diversity reports available publicly at diversity.google. The contents of our diversity reports are not,,,,,,,
incorporated  by  reference  into  this  Annual  Report  on  Form  10-K  or  in  any  other  report  or  document  we  file  with  the,,,,,,,
SEC.,,,,,,,
,As  of  December  31  2021  Alphabet  had  156500  employees.  We  have  work  councils  and  statutory  employee,,,,,,
representation obligations in certain countries and we are committed to supporting protected labor rights maintaining,,,,,,,
an open culture and listening to all employees. Supporting healthy and open dialogue is central to how we work and,,,,,,,
we communicate information about the company through multiple internal channels to our employees.,,,,,,,
,When necessary we contract with businesses around the world to provide specialized services where we do not,,,,,,
have appropriate in-house expertise or resources often in fields that require specialized training like cafe operations,,,,,,,
content moderation customer support and physical security. We also contract with temporary staffing agencies when,,,,,,,
we  need  to  cover  short-term  leaves  when  we  have  spikes  in  business  needs  or  when  we  need  to  quickly  incubate,,,,,,,
special  projects.  We  choose  our  partners  and  staffing  agencies  carefully  and  review  their  compliance  with  Google’s,,,,,,,
Supplier  Code  of  Conduct.  We  continually  make,,,improvements,to  promote  a,respectful  and  positive  working,,
environment for everyone — employees vendors and temporary staff alike.,,,,,,,
Government Regulation,,,,,,,
,We are subject to numerous United States U.S. federal state and foreign laws and regulations covering a wide,,,,,,
variety of subject matters. Like other companies in the technology industry we face heightened scrutiny from both U.S.,,,,,,,
and foreign governments with respect to our compliance with laws and regulations. Many of these laws and regulations,,,,,,,
are evolving and their applicability and scope as interpreted by the courts remain uncertain.,,,,,,,
,Our  compliance  with  these  laws  and  regulations  may  be  onerous  and  could  individually  or  in  the  aggregate,,,,,,
increase  our  cost  of  doing  business  make  our  products  and  services  less  useful  limit  our  ability  to  pursue  certain,,,,,,,
business  models  cause  us  to  change  our  business  practices  affect  our  competitive  position  relative  to  our  peers,,,,,,,
and/or otherwise have an adverse effect on our business reputation financial condition and operating results.,,,,,,,
,For additional information about government regulation applicable to our business see Risk Factors in Item 1A,,,,,,
Trends,in  Our  usiness  and  Financial  Effect,in  Part,II,Item  7  and  Legal  Matters,in  Note  10  of,the  Notes,to
Consolidated Financial Statements included in Part II Item 8 of this Annual Report on Form 10-K.,,,,,,,
Intellectual Property,,,,,,,
,We rely on various intellectual property laws confidentiality procedures and contractual provisions to protect our,,,,,,
proprietary  technology  and  our  brand.  We  have  registered  and  applied  for  the  registration  of  U.S.  and  international,,,,,,,
trademarks  service  marks  domain  names  and  copyrights.  We  have  also  filed  patent  applications  in  the  U.S.  and,,,,,,,
foreign countries covering certain of our technology and acquired patent assets to supplement our portfolio. We have,,,,,,,
licensed in the past and expect that we may license in the future certain of our rights to other parties. For additional,,,,,,,
information see Risk Factors in Item 1A of this Annual Report on Form 10-K.,,,,,,,
Available Information,,,,,,,
,Our website is located at www.abc.xyz and our investor relations website is located at www.abc.xyz/investor. Our,,,,,,
Annual  Reports  on  Form  10-K  Quarterly  Reports  on  Form  10-Q  Current  Reports  on  Form  8-K  and  our  Proxy,,,,,,,
Statements and any amendments to these reports are available through our investor relations website free of charge,,,,,,,
after we file them with the SEC. We also provide a link to the section of the SEC's website at www.sec.gov that has all,,,,,,,
of the reports that we file or furnish with the SEC.,,,,,,,
,We webcast via our investor relations website our earnings calls and certain events we participate in or host with,,,,,,
members  of,"the 
investment  community.  Our",investor,,relations  website  also  provides  notifications  of  news  or,,,
announcements  regarding  our  financial  performance  and  other  items  that  may  be  material  or  of  interest  to  our,,,,,,,
investors including SEC filings investor events press and earnings releases and blogs. We also share Google news,,,,,,,
and product updates on Google's Keyword blog at https://www.blog.google/ that may be material or of interest to our,,,,,,,
investors. Further corporate governance information including our certificate of incorporation bylaws governance,,,,,,,
