0,1,2,3,4,5,6,7,8,9,10
,Changes in the carrying amount of goodwill for the years ended December 31 2019 and 2020 were as follows in,,,,,,,,,
millions:,,,,,,,,,,
,,,,Google,,,,,,
,,Google,,Services,,Google Cloud,,Other ets,,Total
alance as of December 31 2018,,17521,,0,,0,,367,,17888
Acquisitions,,2353,,0,,0,,475,,2828
Transfers,,9,,0,,0,,9,,0
Foreign currency translation and other,,,,,,,,,,
adjustments,,38,,0,,0,,130,,92
alance as of December 31 2019,,19921,,0,,0,,703,,20624
Acquisitions,,204,,0,,0,,0,,204
Foreign currency translation and other,,,,,,,,,,
adjustments,,46,,0,,0,,4,,42
1,,,,,,,,,,
Allocation in the fourth quarter of 2020,,20171,,18408,,1763,,0,,0
Acquisitions,,0,,53,,189,,0,,242
Foreign currency translation and other,,,,,,,,,,
adjustments,,0,,56,,5,,2,,63
alance as of December 31 2020,,0,,18517,,1957,,701,,21175
