0,1,2,3,4,5,6
,,Class A,,Class ,,Class C
asic net income per share:,,,,,,
Numerator,,,,,,
Allocation of undistributed earnings,,17733,,2732,,19804
Denominator,,,,,,
Number of shares used in per share computation,,5996,,924,,6696
asic net income per share,,2.96,,2.96,,2.96
Diluted net income per share:,,,,,,
Numerator,,,,,,
Allocation of undistributed earnings for basic computation,,17733,,2732,,19804
Reallocation of undistributed earnings as a result of conversion of Class  to Class A,,,,,,
shares,,2732,,0,,0
Reallocation of undistributed earnings,,180,,25,,180
Allocation of undistributed earnings,,20285,,2707,,19984
Denominator,,,,,,
Number of shares used in basic computation,,5996,,924,,6696
Weighted-average effect of dilutive securities,,,,,,
Add:,,,,,,
Conversion of Class  to Class A shares outstanding,,924,,0,,0
Restricted stock units and other contingently issuable shares,,2,,0,,123
Number of shares used in per share computation,,6922,,924,,6819
Diluted net income per share,,2.93,,2.93,,2.93
