0,1,2,3,4,5,6,7,8
asic net income per share:,,,,,,,,
Numerator,,,,,,,,
Allocation of undistributed earnings,,34200.0,,,5174.0,,,36659.0
Denominator,,,,,,,,
Number of shares used in per share computation,300310.0,,,45430.0,,,321910.0,
asic net income per share,,113.88,,,113.88,,,113.88
Diluted net income per share:,,,,,,,,
Numerator,,,,,,,,
Allocation of undistributed earnings for basic computation,,34200.0,,,5174.0,,,36659.0
"Reallocation of undistributed earnings as a result of conversion of Class  to Class A
shares",5174.0,,,0.0,,,0.0,
Reallocation of undistributed earnings,581.0,,,77.0,,,581.0,
Allocation of undistributed earnings,,38793.0,,,5097.0,,,37240.0
Denominator,,,,,,,,
Number of shares used in basic computation,300310.0,,,45430.0,,,321910.0,
Weighted-average effect of dilutive securities,,,,,,,,
Add:,,,,,,,,
Conversion of Class  to Class A shares outstanding,45430.0,,,0.0,,,0.0,
Restricted stock units and other contingently issuable shares,15.0,,,0.0,,,10009.0,
Number of shares used in per share computation,345755.0,,,45430.0,,,331919.0,
Diluted net income per share,,112.2,,,112.2,,,112.2
