0,1,2,3,4,5,6,7,8
,,,Three Months Ended,,,,Nine Months Ended,
,,,September 30,,,,September 30,
,,2023.0,,2024.0,,2023.0,,2024.0
Interest income,,1066.0,,1243.0,,2755.0,,3394.0
Interest expense,,116.0,,54.0,,239.0,,215.0
Foreign currency exchange gain loss net,,311.0,,23.0,,789.0,,388.0
Gain loss on debt securities net,,503.0,,160.0,,1100.0,,612.0
Gain loss on equity securities net,,366.0,,1821.0,,194.0,,3350.0
Performance fees,,179.0,,29.0,,302.0,,261.0
Income loss and impairment from equity method,,,,,,,,
investments net,,215.0,,107.0,,372.0,,101.0
Other,,120.0,,70.0,,346.0,,465.0
Other income expense net,,146.0,,3185.0,,709.0,,6154.0
