0,1
,2024.0
Revenues  282836  307394  350018,
Costs and expenses:,
Cost of revenues 126203 133332 146306,
Research and development 39500 45427 49326,
Sales and marketing 26567 27917 27808,
General and administrative 15724 16425 14188,
Total costs and expenses 207994 223101 237628,
Income from operations 74842 84293 112390,
Other income expense net 3514 1424 7425,
Income before income taxes 71328 85717 119815,
Provision for income taxes 11356 11922 19697,
Net income  59972  73795  100118,
,
asic net income per share Note 12  4.59  5.84  8.13,
Diluted net income per share Note 12  4.56  5.80  8.04,
