0,1
,2024.0
Revenues:,
Google Services  253528  272543  304930,
Google Cloud 26280 33088 43229,
Other ets 1068 1527 1648,
Hedging gains losses 1960 236 211,
Total revenues  282836  307394  350018,
Operating income loss:,
Google Services  82699  95858  121263,
Google Cloud 1922 1716 6112,
Other ets 4636 4095 4444,
Alphabet-level activities 1299 9186 10541,
Total income from operations  74842  84293  112390,
Supplemental information about our segment expenses:,
Google Services:,
Employee compensation expenses  43529  46224  44560,
Other costs and expenses 127300 130461 139107,
Total Google Services costs and expenses  170829  176685  183667,
Google Cloud:,
Employee compensation expenses  16132  19054  20519,
Other costs and expenses 12070 12318 16598,
Total Google Cloud costs and expenses  28202  31372  37117,
