0,1,2,3,4
,2022.0,2023.0,2022.0,2023.0
Revenues  69092  76693  206788  221084,,,,
Costs and expenses:,,,,
Cost of revenues 31158 33229 90861 95757,,,,
Research and development 10273 11258 29233 33314,,,,
Sales and marketing 6929 6884 19384 20198,,,,
General and administrative 3597 3979 10628 11219,,,,
Total costs and expenses 51957 55350 150106 160488,,,,
Income from operations 17135 21343 56682 60596,,,,
Other income expense net 902 146 2501 709,,,,
Income before income taxes 16233 21197 54181 61305,,,,
Provision for income taxes 2323 1508 7833 8197,,,,
