0,1,2,3,4,5,6,7,8,9,10
,The following summarizes our contractual obligations as of December 31 2020 in millions:,,,,,,,,,
,,,,,Payments Due y Period,,,,,
,,,,Less than,,1-3,,3-5,,More than
,,Total,,1 year,,years,,years,,5 years
,,,,,,,,,,
"1
Operating lease obligations",,15091,,2198,,4165,,3127,,5601
Obligations for leases that have not yet,,,,,,,,,,
1,,,,,,,,,,
commenced,,8049,,370,,1198,,1469,,5012
,,,,,,,,,,
"2
Purchase obligations",,10656,,7368,,1968,,354,,966
,,,,,,,,,,
"3
Long-term debt obligations",,19840,,1357,,634,,2587,,15262
,,,,,,,,,,
"4
Tax payable",,7359,,834,,1916,,4609,,0
Other long-term liabilities reflected on our,,,,,,,,,,
,,,,,,,,,,
"5
balance sheet",,1421,,532,,616,,185,,88
Total contractual obligations,,62416,,12659,,10497,,12331,,26929
