0,1,2,3,4,5,6,7
EMEA revenues,,55370.0,,,79107.0,43.0,
EMEA constant currency revenues,,,,76321.0,,38.0,
,,,,,,,
APAC revenues,32550.0,,,46123.0,,42.0,
APAC constant currency revenues,,,,45666.0,,40.0,
,,,,,,,
Other Americas revenues,9417.0,,,14404.0,,53.0,
Other Americas constant currency revenues,,,,14317.0,,52.0,
,,,,,,,
United States revenues,85014.0,,,117854.0,,39.0,
,,,,,,,
Hedging gains losses,176.0,,,149.0,,,
Total revenues,,182527.0,,,257637.0,41.0,
Revenues excluding hedging effect,,182351.0,,,257488.0,,
Exchange rate effect,,,,3330.0,,,
Total constant currency revenues,,,,,254158.0,39.0,
