0,1,2,3,4,5,6,7
Table of Contents,,,,,,,Alphabet Inc.
including  our  chief  executive  officer  and  chief  financial  officer  as  appropriate  to  allow  timely  decisions  regarding,,,,,,,
required disclosure.,,,,,,,
Changes in Internal Control over Financial Reporting,,,,,,,
,We  rely  extensively  on  information  systems  to  manage  our  business  and  summarize  and  report  operating,,,,,,
results. In 2019 we began a multi-year implementation of a new global enterprise resource planning ERP system,,,,,,,
which replaced much of our existing core financial systems. The ERP system is designed to accurately maintain our,,,,,,,
financial,records  enhance,the,flow  of,financial,information,improve  data  management  and  provide,timely
information  to  our  management  team.  We  have  now  completed  implementation  of  the  most  significant  modules,,,,,,,
planned to date. There have been no changes in our internal control over financial reporting that occurred during the,,,,,,,
quarter  ended  September  30  2022  that  have  materially  affected  or  are  reasonably  likely  to  materially  affect  our,,,,,,,
internal control over financial reporting.,,,,,,,
Limitations on Effectiveness of Controls and Procedures,,,,,,,
,In designing and evaluating the disclosure controls and procedures management recognizes that any controls,,,,,,
and procedures no matter how well designed and operated can provide only reasonable assurance of achieving,,,,,,,
the desired control objectives. In addition the design of disclosure controls and procedures must reflect the fact that,,,,,,,
there are resource constraints and that management is required to apply its judgment in evaluating the benefits of,,,,,,,
possible controls and procedures relative to their costs.,,,,,,,
