0,1,2,3,4,5,6
Income loss and impairment from equity method investments net,,120.0,,390.0,,401.0
4,,,,,,
Other,,378.0,,102.0,,637.0
Other income expense net,,7389.0,,5394.0,,6858.0
1,,,,,,
,Interest expense is net of interest capitalized of 92 million 167 million and 218 million for the years ended December 31,,,,,
2018 2019 and 2020 respectively.,,,,,,
2,,,,,,
,Our  foreign  currency  exchange  gain  loss  net  is  primarily  related  to  the  forward  points  for  our  foreign  currency  hedging,,,,,
,contracts and foreign exchange transaction gains and losses from the conversion of the transaction currency to the functional,,,,,
currency offset by the foreign currency hedging contracts' losses and gains.,,,,,,
3,,,,,,
,During the year ended December 31 2018 the terms of a non-marketable debt security were modified resulting in an unrealized,,,,,
1.3 billion gain.,,,,,,
4,,,,,,
,During  the  year  ended  December  31  2020  we  entered  into  derivatives  that  hedged  the  changes  in  fair  value  of  certain,,,,,
,marketable equity securities which resulted in a 902 million loss. The offsetting recognized gains on the marketable equity,,,,,
securities are reflected in Gain loss on equity securities net.,,,,,,
