0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,,,As of December 31 2021,,,,,,
,,,,Gross,,Gross,,,,Cash and,,
,,Adjusted,,Unrealized,,Unrealized,,Fair,,Cash,,Marketable
,,Cost,,Gains,,Losses,,Value,,Equivalents,,Securities
Level 2:,,,,,,,,,,,,
1,,,,,,,,,,,,
Time deposits,,5133,,0,,0,,5133,,5133,,0
Government bonds,,53288,,258,,238,,53308,,5,,53303
Corporate debt securities,,35605,,194,,223,,35576,,12,,35564
Mortgage-backed and asset-backed,,,,,,,,,,,,
securities,,18829,,96,,112,,18813,,0,,18813
Total,, 112855,,548,,573,, 112830,,5150,, 107680
