0,1,2,3,4,5,6
Income loss and impairment from equity method investments net,,390.0,,401,,334.0
3,,,,,,
Other,,102.0,,637,,411.0
Other income expense net,,5394.0,,6858,,12020.0
1,,,,,,
,Interest expense is net of interest capitalized of 167 million 218 million and 163 million for the years ended December 31,,,,,
2019 2020 and 2021 respectively.,,,,,,
2,,,,,,
,Our  foreign  currency  exchange  gain  loss  net  is  primarily  related  to  the  forward  points  for  our  foreign  currency  hedging,,,,,
,contracts and foreign exchange transaction gains and losses from the conversion of the transaction currency to the functional,,,,,
currency offset by the foreign currency hedging contracts' losses and gains.,,,,,,
3,,,,,,
,During  the  year  ended  December  31  2020  we  entered  into  derivatives  that  hedged  the  changes  in  fair  value  of  certain,,,,,
"marketable  equity  securities  which 
resulted 
in",losses  of  902  million  and  gains  of  92  million,,,for,the  years  ended,
,December 31 2020 and 2021 respectively. The offsetting recognized gains and losses on the marketable equity securities are,,,,,
reflected in Gain loss on equity securities net.,,,,,,
