0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,,,,,As of December 31 2022,,,,,,
,,,,,Gross,,Gross,,,,Cash and,,
,Fair Value,,Adjusted,,Unrealized,,Unrealized,,,,Cash,,Marketable
,Hierarchy,,Cost,,Gains,,Losses,,Fair Value,,Equivalents,,Securities
Fair value changes,,,,,,,,,,,,,
recorded in other,,,,,,,,,,,,,
comprehensive income,,,,,,,,,,,,,
Time deposits,Level 2,,5297,,0,,0,,5297,,5293,,4
Government bonds,Level 2,,41036,,64,,2045,,39055,,283,,38772
Corporate debt securities,Level 2,,28578,,8,,1569,,27017,,1,,27016
Mortgage-backed and,,,,,,,,,,,,,
asset-backed securities,Level 2,,16176,,5,,1242,,14939,,0,,14939
Total investments with,,,,,,,,,,,,,
