0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Total amounts presented in the Consolidated Statements
of Income in which the effects of cash flow and fair value
hedges are recorded",,161857.0,,,5394.0,,,182527.0,,,6858.0,,,257637.0,,,12020.0
,,,,,,,,,,,,,,,,,
"Gains Losses on Derivatives in Cash Flow Hedging
Relationship:",,,,,,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,,,,,,
"Amount of gains losses reclassified from AOCI to
income",,367.0,,,0.0,,,144.0,,,0.0,,,165.0,,,0.0
"Amount excluded from the assessment of
effectiveness recognized in earnings based on an
amortization approach",88.0,,,0.0,,,33.0,,,0.0,,,16.0,,,0.0,
"Gains Losses on Derivatives in Fair Value Hedging
Relationship:",,,,,,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,,,,,,
Hedged items,0.0,,,19.0,,,0.0,,,18.0,,,0.0,,,95.0,
Derivatives designated as hedging instruments,0.0,,,19.0,,,0.0,,,18.0,,,0.0,,,95.0,
"Amount excluded from the assessment of
effectiveness",0.0,,,25.0,,,0.0,,,4.0,,,0.0,,,8.0,
"Gains Losses on Derivatives in Net Investment Hedging
Relationship:",,,,,,,,,,,,,,,,,
Foreign exchange contracts,,,,,,,,,,,,,,,,,
"Amount excluded from the assessment of
effectiveness",0.0,,,243.0,,,0.0,,,151.0,,,0.0,,,82.0,
"Gains Losses on Derivatives Not Designated as Hedging
Instruments:",,,,,,,,,,,,,,,,,
Foreign exchange contracts,0.0,,,413.0,,,0.0,,,718.0,,,0.0,,,860.0,
Other Contracts,0.0,,,0.0,,,0.0,,,906.0,,,0.0,,,101.0,
Total gains losses,,455.0,,,145.0,,,177.0,,,33.0,,,149.0,,,669.0
