0,1,2,3,4,5,6
,The following table presents revenues disaggregated by type in millions:,,,,,
,,,Year Ended December 31,,,
,,2020.0,,2021.0,,2022.0
Google Search & other,,104062.0,,148951.0,,162450.0
YouTube ads,,19772.0,,28845.0,,29243.0
Google Network,,23090.0,,31701.0,,32780.0
Google advertising,,146924.0,,209497.0,,224473.0
Google other,,21711.0,,28032.0,,29055.0
Google Services total,,168635.0,,237529.0,,253528.0
Google Cloud,,13059.0,,19206.0,,26280.0
Other ets,,657.0,,753.0,,1068.0
Hedging gains losses,,176.0,,149.0,,1960.0
Total revenues,,182527.0,,257637.0,,282836.0
